Timestamp for sample frequency every 15 min,Temperature_Fahrenheit,Relative_Humidity
2020-12-03 18:57:00,41.2,72.56
2020-12-03 19:12:00,40.32,74.09
2020-12-03 19:27:00,40.19,77.78
2020-12-03 19:42:00,40.42,77.58
2020-12-03 19:57:00,41,78.48
2020-12-03 20:12:00,41.5,76.9
2020-12-03 20:27:00,41.9,76.3
2020-12-03 20:42:00,41.99,76.82
2020-12-03 20:57:00,42.57,73.05
2020-12-03 21:12:00,42.44,75.33
2020-12-03 21:27:00,42.8,77.7
2020-12-03 21:42:00,42.93,77.08
2020-12-03 21:57:00,43.36,76.37
2020-12-03 22:12:00,43.54,78.13
2020-12-03 22:27:00,43.43,78.99
2020-12-03 22:42:00,43.32,79.4
2020-12-03 23:12:00,42.98,81.5
2020-12-03 23:27:00,42.8,80.1
2020-12-03 23:42:00,42.87,79.01
2020-12-03 23:57:00,42.91,81.08
2020-12-04 00:12:00,43.03,82.85
2020-12-04 00:27:00,43.05,79.31
2020-12-04 00:42:00,43.09,80.3
2020-12-04 00:57:00,43.25,79
2020-12-04 01:12:00,43.68,75
2020-12-04 01:27:00,43.77,79.78
2020-12-04 01:42:00,43.84,83.14
2020-12-04 01:57:00,43.97,79.16
2020-12-04 02:12:00,44.65,70.02
2020-12-04 02:27:00,44.85,70.9
2020-12-04 02:42:00,44.83,73.49
2020-12-04 02:57:00,44.71,77.83
2020-12-04 03:12:00,44.37,79.53
2020-12-04 03:27:00,44.42,82.2
2020-12-04 03:42:00,44.17,80.83
2020-12-04 03:57:00,44.55,74.07
2020-12-04 04:12:00,45.3,67.63
2020-12-04 04:27:00,45.23,68.45
2020-12-04 04:42:00,45.66,64.97
2020-12-04 04:57:00,44.91,72.11
2020-12-04 05:12:00,45.01,64.44
2020-12-04 05:27:00,45.01,67.35
